   SAO; m(vis); RA(deg); DEC(deg); RAchange(deg/yr); DECchange(deg/yr)
9250;5.4;281.5925008;75.43402995;-0.00001806;0.00002055
9283;4.9;283.5995222;71.2972285;0.00004326;0.00001222
9341;5.1;287.2912488;76.56047741;0.00006174;-0.00003389
9366;4.6;288.8876283;73.35547641;-0.00013692;0.00002944
9404;5.8;290.3977915;76.55963001;-0.0000105;0
9414;6;290.4174079;79.6027509;0.00001932;-0.00000972
9540;4;297.0433938;70.26788367;0.00006762;0.00001028
9665;4.4;302.2224082;77.71141654;0.00001554;0.00000667
9802;5.2;307.8769141;74.95463772;0.0000063;-0.00000444
9957;6;316.5970839;71.43195614;-0.00004494;-0.00003111
9959;5.9;316.3722506;78.12643351;0.00002814;0.00000833
10057;3.3;322.1652318;70.56076663;0.00001008;0.00000222
10126;4.9;325.4805249;71.31150891;0.00010206;0.00002778
10131;5.4;325.7668246;72.32017855;-0.00004074;-0.00001056
10216;5.1;329.8124598;73.17991234;-0.00006636;-0.00004472
10265;5;332.451894;72.34127887;0.00002982;0.00000111
10366;5.7;336.5027242;70.77122556;0.00000798;0.00000417
10375;5.8;336.6774037;78.7858142;-0.00002268;-0.00001194
10402;5.5;337.4706084;78.82428661;0.00000084;-0.00000611
10414;5.7;338.0674834;76.22645207;-0.00002562;-0.00000306
10425;5.2;338.9422671;73.64323483;0.0001701;0.00000667
10629;4.6;346.97472;75.38762437;0.00001386;-0.00000833
10664;5.7;348.6555662;74.23125131;0.00004914;0.00000167
10671;5.6;348.9074122;70.88824478;0.0000147;0.00000083
10737;5.6;351.8193177;70.35980275;0.00009912;-0.00000167
10814;6;354.7936435;75.29280727;0.00001386;0.00000306
10818;3.4;354.83706;77.63240563;-0.0000861;0.00004139
10937;6;0.65054167;66.09896793;0.00000714;-0.00000028
10954;6;1.05679639;62.28787476;-0.00000252;0.00000167
10956;5.8;1.17483777;67.16665453;0.00006636;0.00000861
10962;5.9;1.27567552;61.31410514;0.0000084;0.00000139
10978;5.5;1.61074651;64.19620879;0.0000063;-0.00000028
11084;5.8;4.2380013;61.53330283;-0.00000042;-0.00000028
11172;5.4;6.19786488;61.83112239;0.00000714;-0.00000028
11256;4.2;8.24985723;62.93180049;0.00000084;-0.00000083
11291;5.8;9.11384065;60.32624075;-0.00000042;-0.00000083
11336;5.9;10.51482896;66.14761836;-0.0000042;-0.0000025
11424;5.5;12.68161288;64.24754525;0.00001806;-0.00000361
11444;4.9;13.26728825;61.12411342;-0.00004116;0.00004778
11482;2.8;14.1771467;60.71671621;0.0000147;-0.00000167
11484;5.5;14.19617578;60.36277427;0.00001848;-0.00000222
11502;6;14.62943001;66.35211796;0.00002982;-0.00000167
11551;5.9;15.90401003;61.07506076;-0.00000336;0.00000111
11557;5.9;16.08163102;61.58031117;-0.00004116;-0.00000611
11612;5.3;17.66398975;68.77879677;0.00002814;-0.00000667
11615;5.5;17.85657698;64.20292271;0.00002562;-0.00000361
11617;5.5;17.92261039;65.01881204;0.00001596;-0.00000444
11751;5;21.48348248;68.13001867;0.0000567;0.00000694
11919;5.5;25.58552601;68.04305224;0.00003906;-0.0000025
11941;5.8;25.83201769;60.55121042;0.00000462;-0.00000556
11983;5.7;26.9368761;63.85231424;0.0003696;-0.00007083
12031;3.4;28.59880208;63.67009755;0.00002016;-0.00000583
12038;5;28.9997896;68.68517715;0.00000714;-0.00000389
12065;6;29.63856501;61.69795549;0.0000084;-0.00000222
12076;5.2;29.908344;64.62154817;0.00002142;-0.00000556
12095;5.9;30.71954023;64.90147597;-0.00000084;-0.00000417
12097;5.6;30.75120705;64.38999521;0.00000294;-0.00000139
12298;4.6;37.26655482;67.40240211;-0.00001218;0.00000306
12421;5.8;41.2069606;67.82466013;0.00001092;-0.00000889
12472;6;42.99489895;68.88836926;0.00000168;-0.00000333
12517;5.6;43.98728226;61.52119164;0.00008526;0.00000861
12608;5.8;46.82894195;64.05779245;-0.00001134;0.00000222
12704;4.8;49.99732635;65.65237925;0.00001008;-0.00000361
12743;5.5;51.16889769;64.5860815;-0.0000042;0.00000083
12874;5.3;55.5388157;63.21679782;-0.00001218;0.00000444
12890;5.8;56.50487846;67.20162388;0.0000672;-0.00003194
12891;5;56.50958245;63.34506134;-0.00000294;-0.00000361
12916;4.7;57.38007066;65.52604832;-0.00000462;-0.00000361
12917;6;57.40275407;63.29723081;-0.00001092;-0.00001417
12968;5.2;59.28451258;61.10891628;-0.00000252;-0.00000417
12969;4.9;59.35561724;63.07220843;0.00000042;0.00000056
13075;5.6;64.2234856;61.85028325;0.00000672;-0.00000278
13098;5.4;65.16789857;65.14049857;-0.000021;-0.00000167
13113;5.7;65.44840277;60.73581634;0.00003024;-0.00003028
13196;5.9;69.10065822;64.26138391;-0.00001722;-0.00000444
13291;5.8;73.02169286;63.50536411;0.00002436;-0.00002722
13298;4.4;73.5126514;66.34269337;0.00000042;0.00000139
13351;4.2;75.85459373;60.44226074;-0.00000336;-0.00000444
13409;6;78.26318655;61.85008615;0.00000672;0.00000167
13460;5.9;80.09429099;62.6538282;-0.00000084;0.00000056
13518;5.8;82.54255886;63.06729188;-0.00000378;-0.00000111
13550;6;84.31304262;64.15464527;0.00000168;-0.00001944
13570;5.8;85.61021381;65.69764293;-0.0000021;-0.00000611
13756;5.4;93.21283763;65.71844016;0.0000042;-0.00000917
13772;5.6;93.91935844;59.99913788;0.00001848;-0.00000583
13787;5.3;94.47877973;61.5153108;-0.00000252;-0.00000111
13788;4.7;94.71175076;69.31984674;0.00000252;-0.00002944
13897;6;99.4225232;61.48120834;-0.0001218;-0.00007666
13973;5;102.7381452;67.57193523;0.00000336;0.00000083
13986;5.1;103.4260621;68.88828561;0.00000294;0.00000167
14211;5.8;112.7194781;68.46569413;-0.00000798;-0.00001056
14321;6;116.6674669;65.45581226;0.00002268;0.00000583
14402;6;120.4264725;60.32437463;-0.00002436;-0.00000556
14407;6;120.62836;63.09016436;-0.00000756;-0.00000528
14456;5.5;123.2033438;68.47409943;0;0.00000222
14500;5.8;124.8219444;62.50713892;-0.00000798;0.00000194
14568;6;127.4430497;67.29747689;-0.000042;0.00000361
14573;3.5;127.5662247;60.71820762;-0.0000756;-0.00002972
14590;5.4;128.651025;65.14514297;-0.00003276;-0.0000175
14609;5.7;129.7989962;65.02096235;-0.00001596;0.00002444
14616;4.8;130.0539837;64.32797595;-0.0000336;0.0000075
14691;5.7;133.3440352;61.9623418;-0.00000504;0.00000639
14703;5.6;134.1564352;64.60402597;-0.00001722;-0.0000225
14742;5;135.6363737;67.62964929;-0.0000147;0.00000528
14769;5.3;137.0983116;66.87331837;-0.0000126;-0.00001056
14788;4.9;137.59662;67.134613;-0.0000147;-0.00002055
14796;4.7;137.7295365;63.51354193;0.00006216;-0.0000175
14819;5.2;138.586091;61.42332755;0.00000042;-0.00000861
14908;3.8;142.8822217;63.06189461;0.00006762;0.00000778
14966;5.7;145.5618477;69.23756367;-0.0000525;-0.00001944
15135;5.7;154.5086597;65.10839574;-0.0000567;-0.00000222
15147;5.8;155.2643346;68.7475442;-0.0000378;-0.00001083
